               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.022256,           0.0064113,                   0,             0.91499,             0.97436,             0.97538,             0.71571,            0.020012,           0.0044237,                   0,           0.0019563,           0.0019563,           0.0019563
                  67,            0.022947,           0.0065453,                   0,             0.91855,             0.98291,              0.9717,             0.70802,            0.020117,           0.0044539,                   0,           0.0018325,           0.0018325,           0.0018325
                  68,            0.021241,             0.00661,                   0,             0.91028,             0.96581,             0.96721,             0.70261,            0.020121,           0.0044935,                   0,           0.0017087,           0.0017087,           0.0017087
                  69,            0.021967,           0.0065502,                   0,             0.93265,             0.96581,             0.97609,             0.71049,            0.019911,           0.0044744,                   0,            0.001585,            0.001585,            0.001585
                  70,            0.021852,           0.0065526,                   0,             0.92672,             0.97275,             0.97561,             0.70949,            0.019843,           0.0043817,                   0,           0.0014612,           0.0014612,           0.0014612
                  71,            0.021719,           0.0064935,                   0,             0.91903,              0.9701,             0.96626,             0.70406,            0.020219,            0.004369,                   0,           0.0013375,           0.0013375,           0.0013375
                  72,             0.02246,           0.0067494,                   0,             0.91018,             0.95277,             0.95509,             0.69956,            0.020746,           0.0044073,                   0,           0.0012138,           0.0012138,           0.0012138
                  73,            0.021911,           0.0066313,                   0,             0.90791,             0.96581,             0.95765,             0.70171,            0.020104,           0.0044006,                   0,             0.00109,             0.00109,             0.00109
                  74,            0.021887,           0.0064996,                   0,             0.89886,             0.96581,             0.96293,             0.69507,            0.020318,           0.0043627,                   0,          0.00096625,          0.00096625,          0.00096625
                  75,            0.022012,           0.0068673,                   0,             0.89755,             0.97344,             0.96286,             0.69961,            0.020145,           0.0043962,                   0,           0.0008425,           0.0008425,           0.0008425
                  76,            0.022377,           0.0068053,                   0,             0.89712,              0.9689,               0.963,             0.70692,            0.019996,           0.0044196,                   0,          0.00071875,          0.00071875,          0.00071875
                  77,            0.021446,              0.0066,                   0,              0.9027,             0.97436,             0.96688,             0.71516,             0.01951,           0.0043865,                   0,            0.000595,            0.000595,            0.000595
                  78,            0.020817,           0.0064731,                   0,             0.88923,             0.96581,             0.96035,             0.70873,            0.019982,           0.0043998,                   0,          0.00047125,          0.00047125,          0.00047125
                  79,            0.020852,           0.0063891,                   0,             0.88946,             0.96581,             0.96034,             0.70824,            0.019859,           0.0043972,                   0,           0.0003475,           0.0003475,           0.0003475
